spot_name,location,phone,website,entrance_fee,operating_hours
만정캠핑장,인천 중구 영종순환로 279-20,032-747-1144, http://manjungcamp.co.kr/,"텐트 일반: 일~목 30,000원, 금~토, 연휴 및 공휴일 35,000원 / 텐트 특: 일~목 30,000원, 금~토, 연휴 및 공휴일 50,000원",입실 14:00 퇴실 12:00
송도스포츠캠핑장,인천 연수구 인천신항대로892번길 50 송도스포츠파크 내,032-899-4888, http://eco-i.or.kr/sportsPark,"텐트존: 평일 13,000원, 주말 18,000원 / 가족 피크닉존: 일반 3,000원, 청소년 2,000원, 경로 2,000원 / 단체 피크닉존: 평일 40,000원, 주말 48,000원","텐트존 입실 13:00, 퇴실 11:00 가족 피크닉존 10:00~15:00, 16:00~21:00 단체 피크닉존 10:00~21:00"
함허동천(야영장),인천 강화군 화도면 해안남로1196번길 38,정보 없음, https://camp.ghss.or.kr/,1야영장 1박 2일: 1만 8000원 2박 3일: 2만 6000원 3박 4일: 3만 4000원  / 2·3·4야영장 당일 7000원(대형 천막 설치 시 1만 원),"1야영장 입실 14:00, 퇴실 11:30 2·3·4야영장 야영 목적시 07:00~22:00 (코로나-19 상황에 따라 변동 가능)"
대이작도 부아산 하이킹,인천광역시 옹진군 자월면 이작리 산217,032-851-8881,http://daeijakdo.kr,무료,00:00~24:00
강화나들길,인천광역시 강화군 강화읍,032-930-3529, https://cafe.daum.net/vita-walk,무료,00:00~24:00
대이작도 생태탐방로,인천광역시 옹진군 자월면 이작리 일대,032-851-8881, http://daeijakdo.kr,무료,00:00~24:00
강화도 황청낚시터,인천광역시 강화군 내가면 황청포구로443번길 82,032-933-0105, http://www.hwangcheongfish.com,프로그램에 따라 상이,08:00~21:00(이용시간은 프로그램에 따라 상이함)
"계양산 둘레길(계양산 산림욕장, 치유의 숲, 누리길)",인천 계양구 계양산로102번길 4,032-450-4905, http://www.gyeyang.go.kr,무료,00:00~24:00
무의바다누리길,인천광역시 중구 무의동,032-760-7774, http://www.icjg.go.kr/tour,무료,00:00~24:00
신도·시도·모도 해안누리길(인천 삼형제섬길),인천광역시 옹진군 북도면 신도리,정보 없음,정보 없음,무료,00:00~24:00
현대유람선(아라뱃길),경기 김포시 고촌읍 아라육로270번길 74 아라김포여객터미널,032-882-5555,http://aracruise.co.kr,패키지에 따라 상이함,"11:00~15:00  뷔페크루즈 (평일)11:00, 13:00 (토요일) 18:00   음악불꽃크루즈 (토요일)18:00"
어류정항,인천 강화군 삼산면 어류정길177번길 117,정보 없음,정보 없음,무료,00:00~24:00  수산물직판장 09:00~20:00
BMW 드라이빙 센터,인천 중구 공항동로 136,080-700-8000,www.bmw-driving-center.co.kr,무료/프로그램 이용료 별도,"09:00~18:00  6~9월 금,토요일 09:00~19:00"
교동도 고구저수지,인천 강화군 교동면 고구리 73,032-932-4600,정보 없음,정보 없음,정보 없음
